,statistic,Location,Opp,mean,std,max,min,median,n_games,mean_all,std_all,max_all,min_all,median_all,n_games_all
202,3PA,Away,HOU,8.833333333333334,3.5221864092420314,15.0,2.0,9.0,24,8.630653266331658,3.796692856981426,20.0,0.0,9.0,398
203,3PA,Away,IND,7.0,2.886751345948129,10.0,2.0,8.0,7,8.630653266331658,3.796692856981426,20.0,0.0,9.0,398
204,3PA,Away,LAC,7.8,3.559026084010437,16.0,1.0,7.0,25,8.630653266331658,3.796692856981426,20.0,0.0,9.0,398
205,3PA,Away,LAL,8.0,3.4641016151377544,15.0,1.0,9.0,15,8.630653266331658,3.796692856981426,20.0,0.0,9.0,398
206,3PA,Away,MEM,9.105263157894736,2.922988137013698,14.0,3.0,10.0,19,8.630653266331658,3.796692856981426,20.0,0.0,9.0,398
207,3PA,Away,MIA,9.222222222222221,4.465920335658088,15.0,2.0,9.0,9,8.630653266331658,3.796692856981426,20.0,0.0,9.0,398
208,3PA,Away,MIL,7.875,3.4408263127170073,11.0,2.0,9.0,8,8.630653266331658,3.796692856981426,20.0,0.0,9.0,398
209,3PA,Away,MIN,7.533333333333333,4.808722234004531,19.0,2.0,7.0,15,8.630653266331658,3.796692856981426,20.0,0.0,9.0,398
210,3PA,Away,NJN,4.0,0.0,4.0,4.0,4.0,2,8.630653266331658,3.796692856981426,20.0,0.0,9.0,398
211,3PA,Away,NOH,5.8,2.588435821108957,9.0,3.0,5.0,5,8.630653266331658,3.796692856981426,20.0,0.0,9.0,398
212,3PA,Away,NOP,9.5,3.7158703297736735,18.0,2.0,9.0,14,8.630653266331658,3.796692856981426,20.0,0.0,9.0,398
213,3PA,Away,NYK,8.666666666666666,4.847679857416329,13.0,0.0,11.0,9,8.630653266331658,3.796692856981426,20.0,0.0,9.0,398
214,3PA,Away,OKC,8.789473684210526,3.505217497902568,16.0,2.0,8.0,19,8.630653266331658,3.796692856981426,20.0,0.0,9.0,398
215,3PA,Away,ORL,8.777777777777779,5.093568929978709,17.0,2.0,8.0,9,8.630653266331658,3.796692856981426,20.0,0.0,9.0,398
216,3PA,Away,PHI,9.222222222222221,3.7675515184857717,15.0,3.0,9.0,9,8.630653266331658,3.796692856981426,20.0,0.0,9.0,398
217,3PA,Away,PHO,8.235294117647058,3.8491786748069043,16.0,3.0,9.0,17,8.630653266331658,3.796692856981426,20.0,0.0,9.0,398
218,3PA,Away,POR,10.68421052631579,4.069570432953819,16.0,2.0,11.0,19,8.630653266331658,3.796692856981426,20.0,0.0,9.0,398
219,3PA,Away,SAC,9.764705882352942,4.308848624701063,20.0,2.0,10.0,17,8.630653266331658,3.796692856981426,20.0,0.0,9.0,398
220,3PA,Away,SAS,7.647058823529412,4.676285604924439,18.0,0.0,7.0,17,8.630653266331658,3.796692856981426,20.0,0.0,9.0,398
221,3PA,Away,TOR,8.818181818181818,3.995451959870919,15.0,3.0,9.0,11,8.630653266331658,3.796692856981426,20.0,0.0,9.0,398
222,3PA,Away,UTA,8.5,2.5298221281347035,13.0,3.0,9.0,16,8.630653266331658,3.796692856981426,20.0,0.0,9.0,398
223,3PA,Away,WAS,7.9,3.178049716414141,15.0,3.0,8.0,10,8.630653266331658,3.796692856981426,20.0,0.0,9.0,398
224,3PA,Home,ATL,5.571428571428571,3.101458950082625,11.0,2.0,5.0,7,8.411330049261084,3.714605102309956,19.0,0.0,8.0,406
225,3PA,Home,BOS,7.444444444444445,4.558264777059114,14.0,1.0,8.0,9,8.411330049261084,3.714605102309956,19.0,0.0,8.0,406
226,3PA,Home,BRK,8.833333333333334,4.750438576243952,16.0,4.0,8.5,6,8.411330049261084,3.714605102309956,19.0,0.0,8.0,406
227,3PA,Home,CHA,7.25,4.031128874149275,13.0,4.0,6.0,4,8.411330049261084,3.714605102309956,19.0,0.0,8.0,406
228,3PA,Home,CHI,7.2,3.1902629637347726,11.0,3.0,7.0,10,8.411330049261084,3.714605102309956,19.0,0.0,8.0,406
229,3PA,Home,CHO,9.75,3.8622100754188224,15.0,6.0,9.0,4,8.411330049261084,3.714605102309956,19.0,0.0,8.0,406
230,3PA,Home,CLE,9.8,4.073017761342384,17.0,2.0,10.5,20,8.411330049261084,3.714605102309956,19.0,0.0,8.0,406
231,3PA,Home,DAL,8.0,4.309458036856673,17.0,3.0,7.0,15,8.411330049261084,3.714605102309956,19.0,0.0,8.0,406
