,+/-,3P,3P%,3PA,AST,Away,BLK,DRB,Date,FG,FG%,FGA,FT,FT%,FTA,G,G#,GS,GmSc,MP,ORB,Opp,PF,PTS,Result,STL,Season,Series,TOV,TRB,Tm
0,+9,3,.333,9,4,,0,5,2017-10-17,8,.444,18,3,1.000,3,1,1,1,14.3,29:33,0,HOU,4,22,L (-1),1,2017-2018,Regular Season,2,5,GSW
1,+7,4,.364,11,8,@,0,3,2017-10-20,7,.438,16,10,1.000,10,2,1,1,24.7,35:07,0,NOP,1,28,W (+8),0,2017-2018,Regular Season,1,3,GSW
2,-6,6,.545,11,3,@,0,6,2017-10-21,9,.529,17,13,1.000,13,3,1,1,28.6,30:05,0,MEM,5,37,L (-10),0,2017-2018,Regular Season,2,6,GSW
3,+22,2,.200,10,8,@,0,0,2017-10-23,7,.467,15,13,1.000,13,4,1,1,25.9,31:09,2,DAL,1,29,W (+30),4,2017-2018,Regular Season,6,2,GSW
4,+14,4,.364,11,5,,1,4,2017-10-25,9,.450,20,8,1.000,8,5,1,1,25.2,37:31,0,TOR,2,30,W (+5),3,2017-2018,Regular Season,2,4,GSW
5,-8,3,.231,13,8,,0,5,2017-10-27,7,.368,19,3,1.000,3,6,1,1,15.8,36:12,0,WAS,2,20,W (+3),2,2017-2018,Regular Season,2,5,GSW
6,+12,3,.429,7,8,,0,5,2017-10-29,11,.647,17,2,.667,3,7,1,1,21.7,35:26,1,DET,3,27,L (-8),1,2017-2018,Regular Season,5,6,GSW
7,+21,7,.636,11,6,@,1,3,2017-10-30,9,.643,14,6,.750,8,8,1,1,31.0,29:54,2,LAC,3,31,W (+28),2,2017-2018,Regular Season,1,5,GSW
8,+16,3,.750,4,5,@,0,7,2017-11-02,7,.538,13,4,1.000,4,9,1,1,21.2,31:51,1,SAS,2,21,W (+20),3,2017-2018,Regular Season,2,8,GSW
9,+44,5,.500,10,11,@,0,0,2017-11-04,7,.500,14,3,.750,4,10,1,1,21.3,29:38,0,DEN,0,22,W (+19),2,2017-2018,Regular Season,3,0,GSW
10,+25,2,.222,9,4,,0,5,2017-11-06,5,.263,19,4,.800,5,11,1,1,8.4,33:53,0,MIA,3,16,W (+17),2,2017-2018,Regular Season,1,5,GSW
11,+16,2,.286,7,8,,1,8,2017-11-08,7,.438,16,6,1.000,6,12,1,1,18.5,29:48,0,MIN,2,22,W (+24),2,2017-2018,Regular Season,5,8,GSW
12,+29,3,.375,8,9,,0,4,2017-11-11,5,.417,12,9,1.000,9,13,1,1,22.1,29:54,0,PHI,0,22,W (+21),1,2017-2018,Regular Season,2,4,GSW
13,-14,2,.222,9,5,@,0,4,2017-11-16,3,.214,14,1,.500,2,14,1,1,4.1,31:04,2,BOS,5,9,L (-4),4,2017-2018,Regular Season,4,6,GSW
14,+3,4,.444,9,5,@,1,5,2017-11-18,11,.500,22,9,1.000,9,15,1,1,27.3,34:39,0,PHI,1,35,W (+8),0,2017-2018,Regular Season,2,5,GSW
15,+4,4,.400,10,7,@,0,8,2017-11-19,14,.583,24,7,.875,8,16,1,1,30.4,32:39,3,BRK,6,39,W (+7),3,2017-2018,Regular Season,7,11,GSW
16,-17,3,.375,8,6,@,0,4,2017-11-22,9,.500,18,3,1.000,3,17,1,1,15.7,30:49,1,OKC,1,24,L (-17),1,2017-2018,Regular Season,6,5,GSW
17,+39,4,.364,11,4,,0,7,2017-11-24,10,.556,18,9,1.000,9,18,1,1,28.5,26:51,0,CHI,2,33,W (+49),2,2017-2018,Regular Season,2,7,GSW
18,+5,3,.231,13,6,,0,4,2017-11-25,9,.360,25,6,1.000,6,19,1,1,17.7,36:28,0,NOP,2,27,W (+15),1,2017-2018,Regular Season,1,4,GSW
19,+4,3,.333,9,7,@,0,5,2017-11-29,9,.450,20,7,.875,8,20,1,1,17.0,39:24,0,LAL,4,28,W (+4),0,2017-2018,Regular Season,5,5,GSW
20,+19,3,.375,8,10,@,0,5,2017-12-01,9,.450,20,2,1.000,2,21,1,1,20.0,33:03,1,ORL,2,23,W (+21),3,2017-2018,Regular Season,4,6,GSW
21,+20,5,.556,9,3,@,0,2,2017-12-03,11,.688,16,3,.750,4,22,1,1,27.1,30:19,0,MIA,1,30,W (+28),2,2017-2018,Regular Season,0,2,GSW
22,-1,5,.455,11,11,@,0,3,2017-12-04,9,.474,19,8,.889,9,23,1,1,27.9,34:27,2,NOP,5,31,W (+10),1,2017-2018,Regular Season,2,5,GSW
23,+21,10,.769,13,3,,0,4,2017-12-30,13,.765,17,2,1.000,2,24,1,1,33.8,25:36,0,MEM,2,38,W (+13),0,2017-2018,Regular Season,0,4,GSW
